End_of_Period,Loan_Number,Region,Country_Code,Country,Borrower,Guarantor_Country_Code,Guarantor,Loan_Type,Loan_Status,Interest_Rate,Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount_,Undisbursed_Amount_,Disbursed_Amount_,Repaid_to_IBRD_,Due_to_IBRD_,Exchange_Adjustment_,Borrowers_Obligation_,Sold_Third_Party_,Repaid__Third_Party,Due__Third_Party_,Loans_Held_,First_Repayment_Date,Last_Repayment_Date,Agreement_Signing_Date,Board_Approval_Date,Effective_Date_(Most_Recent),Closed_Date_(Most_Recent),Last_Disbursement_Date
9/30/2025,IBRD36920,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",3,P006868,"NATURAL RESOURCE MAN",39000000,15592241,0,23407758.98,23407759,0,0,0,0,0,0,0,5/1/1999,11/1/2013,8/9/1994,12/23/1993,11/9/1994,3/31/2001,7/27/2001
9/30/2025,IBRD38270,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",2,P006893,"ENERGY TECHNICAL ASSISTANCE",11000000,153749,0,10846251.48,10846251,0,0,0,0,0,0,0,8/15/1999,2/15/2012,6/19/1995,12/15/1994,9/5/1995,12/31/2001,12/28/2001
9/30/2025,IBRD38710,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",2,P006880,"CO AGRICULTURE TECHNOLO",51000000,4207974,0,46792026.36,46792026,0,0,0,0,0,0,0,9/1/1999,3/1/2012,6/16/1995,4/20/1995,8/25/1995,12/31/2003,5/11/2004
9/30/2025,IBRD39520,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",1,P006894,"Santafe I Water Supply and Sewerage Reh.",58000000,0,0,58000000,58000000,0,0,0,0,0,0,0,5/15/2001,11/15/2012,12/20/1995,11/16/1995,3/18/1996,12/31/2004,12/23/2004
9/30/2025,IBRD39530,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMPRESA DE ACUEDUCTO Y ALCANTA DE BOGOTA",CO,Colombia,SCL,"Fully Repaid",0,P006894,"Santafe I Water Supply and Sewerage Reh.",87000000,1151880,0,85848120.38,85848120,0,0,0,0,0,0,0,11/15/1999,5/15/2011,12/20/1995,11/16/1995,3/18/1996,12/31/2004,12/21/2004
9/30/2025,IBRD39540,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INTERCONEXION ELECTRICA S. A.",CO,Colombia,CPL,"Fully Transferred",7,P006887,"CO POWER MARKET DEVELOP. & ENERGY (TA)",0,0,0,0,0,0,0,0,0,0,0,0,2/15/2000,8/15/2012,3/26/1996,11/16/1995,6/26/1996,12/31/2002,
9/30/2025,IBRD3954A,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INTERCONEXION ELECTRICA S. A.",CO,Colombia,SCL,"Fully Repaid",0,P006887,"CO POWER MARKET DEVELOP. & ENERGY (TA)",84818654,0,0,84818654.44,84818654,0,0,0,0,0,0,0,2/15/2000,8/15/2012,3/26/1996,11/16/1995,6/26/1996,12/31/2002,2/15/2001
9/30/2025,IBRD3954B,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INTERCONEXION ELECTRICA S. A.",CO,Colombia,SCL,"Fully Repaid",0,P006887,"CO POWER MARKET DEVELOP. & ENERGY (TA)",19481346,0,0,19481345.56,19481346,0,0,0,0,0,0,0,2/15/2000,8/15/2012,3/26/1996,11/16/1995,8/16/1998,10/15/2001,8/15/2001
9/30/2025,IBRD39550,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INTERCONEXION ELECTRICA S. A.",CO,Colombia,SCL,"Fully Repaid",3,P006887,"CO POWER MARKET DEVELOP. & ENERGY (TA)",145000000,0,0,75880000,75880000,0,0,0,0,0,0,0,4/15/2000,10/15/2012,3/26/1996,11/16/1995,6/26/1996,12/31/2002,4/15/2002
9/30/2025,IBRD39730,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",2,P039291,"CO URBAN ENVIRONMENT TA (TAL)",20000000,1434353,0,18565646.71,18565647,0,0,0,0,0,0,0,8/1/2001,2/1/2013,3/26/1996,1/16/1996,7/25/1996,12/31/2002,4/18/2003
9/30/2025,IBRD40210,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"Distrito Capital de Santa Fe de Bogota",CO,Colombia,CPL,"Fully Transferred",7,P006872,"CO Urban Transport",0,0,0,0,0,0,0,0,0,0,0,0,10/1/2001,4/1/2013,7/16/1996,5/23/1996,10/15/1996,12/31/2001,
9/30/2025,IBRD4021A,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"Distrito Capital de Santa Fe de Bogota",CO,Colombia,SCL,"Fully Repaid",1,P006872,"CO Urban Transport",59589094,0,0,59589094.01,59589094,0,0,0,0,0,0,0,10/15/2001,4/15/2013,7/16/1996,5/23/1996,10/15/1996,12/31/2001,6/28/2001
9/30/2025,IBRD4021S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"Distrito Capital de Santa Fe de Bogota",CO,Colombia,SCPD,"Fully Repaid",5,P006872,"CO Urban Transport",5410906,0,0,5410905.99,5410906,0,0,0,0,0,0,0,10/1/2001,4/1/2013,7/16/1996,5/23/1996,10/15/1996,12/31/2001,
9/30/2025,IBRD41380,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",0,P040102,"REGULATORY REFORM TECHNICAL ASSISTANCE",12500000,327472,0,12172528.44,12172528,0,0,0,0,0,0,0,10/15/2000,4/15/2012,4/4/1997,2/25/1997,6/4/1997,8/31/2004,4/8/2005
9/30/2025,IBRD41960,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",0,P006884,"CO FINANCIAL MARKETS DEVELOPMENT",15000000,6809960,0,8190040.26,8190040,0,0,0,0,0,0,0,4/15/2001,10/15/2012,7/29/1997,6/20/1997,10/21/1997,12/31/2003,9/22/2004
9/30/2025,IBRD42420,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"ALCALDIA MUNICIPALDE PASTO",CO,Colombia,SCL,"Fully Repaid",1,P046112,"CO PASTO EDUCATION",7200000,97880,0,7102119.65,7102120,0,0,0,0,0,0,0,5/15/2002,11/15/2014,12/15/1997,11/6/1997,3/13/1998,8/31/2003,11/13/2003
9/30/2025,IBRD42430,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"DEPARTAMENTO DE ANTIOQUIA",CO,Colombia,SCL,"Fully Repaid",6,P006891,"CO ANTIOQUIA EDUCATION",40000000,29008800,0,10991200,10991200,0,0,0,0,0,0,0,6/15/2004,12/15/2012,12/15/1997,11/6/1997,3/16/1998,12/31/2003,7/17/2006
9/30/2025,IBRD43450,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"FINANCIERA DE DESARROLLO TERRITORIAL S.A",CO,Colombia,SCL,"Fully Repaid",1,P006861,"CO URBAN INFRASTRUCTURE",75000000,26201766,0,48798234.06,48798234,0,0,0,0,0,0,0,11/15/2003,5/15/2015,7/31/1998,6/11/1998,12/22/1998,6/30/2004,6/28/2004
9/30/2025,IBRD43630,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",0,P053243,"CO PEASANT ENTERPRISE ZONES (LIL)",5000000,838302,0,4161697.66,4161698,0,0,0,0,0,0,0,1/15/2002,7/15/2013,6/30/1998,6/26/1998,9/30/1998,12/31/2003,3/17/2004
9/30/2025,IBRD43700,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",0,P039082,"TOLL ROAD CONCESSION",137100000,100000000,0,37100000,37100000,0,0,0,0,0,0,0,5/15/2002,11/15/2013,12/4/1998,7/2/1998,12/23/1998,4/30/2001,1/7/1999
9/30/2025,IBRD43710,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",0,P046031,"CO MAGDALENA MEDIO",5000000,0,0,5000000,5000000,0,0,0,0,0,0,0,5/15/2002,11/15/2013,7/10/1998,6/30/1998,10/9/1998,12/31/2000,11/6/2000
9/30/2025,IBRD43830,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCL,"Fully Repaid",0,P050576,"CO-  YOUTH DEVELOPMENT",5000000,1365196,0,3634803.68,3634804,0,0,0,0,0,0,0,5/15/2002,11/15/2014,8/12/1998,8/3/1998,4/12/1999,6/30/2003,11/8/2002
9/30/2025,IBRD45070,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"ALCADIA DISTRITAL DE CARTAGENA DE INDIAS",CO,Colombia,SCL,"Fully Repaid",6,P044140,"CO CARTAGENA WTR SUPPLY & SEWERAGE ENV.",85000000,74380000,0,10620000,10620000,0,0,0,0,0,0,0,3/15/2005,9/15/2016,12/10/1999,7/20/1999,1/19/2000,6/29/2007,7/26/2006
9/30/2025,IBRD70000,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,FSL,"Fully Repaid",0,P063643,"Financial Sector Adjustment Loan",506000000,180547776,0,301354377.3,401861808,-100507431.1,100507431.1,0,0,0,0,-100507431.1,5/15/2005,11/15/2016,12/2/1999,11/18/1999,12/7/1999,12/31/2001,5/29/2001
9/30/2025,IBRD70090,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"FONDO PARA LA RECONST. DEL EJE CAFETERO",CO,Colombia,FSL,"Fully Repaid",0,P065263,"CO EARTHQUAKE RECOVERY",225000000,0,0,225000000,225000000,0,0,0,0,0,0,0,9/15/2005,3/15/2017,5/23/2000,3/21/2000,6/21/2000,6/30/2004,8/20/2002
9/30/2025,IBRD70120,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,FSL,"Fully Repaid",0,P050578,"CO RURAL EDUCATION APL I",20000000,0,0,20000000,20000000,0,0,0,0,0,0,0,9/15/2005,3/15/2017,10/20/2000,4/11/2000,12/20/2000,12/31/2006,12/14/2006
